#Feature	Score	Pval	Label
ARSA	226.83251659816503	1.3243487160366797e-20	SELECTED
PRKCA	49.54344657339383	4.292805799146452e-09	SELECTED
CD59	27.167366391212187	3.2638046253448633e-06	SELECTED
CTSA	27.109754196930435	3.3282740513454607e-06	SELECTED
SLC6A4	24.26917218880642	8.9058494634259e-06	SELECTED
C10orf54	23.679970548678043	1.0978294211593231e-05	SELECTED
ACTR3B	23.560757765601238	1.1455493794938811e-05	SELECTED
LAT	20.08297741807091	4.101563935002506e-05	SELECTED
RGS10	19.549860960718462	5.0180441377814e-05	SELECTED
ERN1	17.43878645369952	0.00011347847384128907	SELECTED
ADCY6	17.42839434973603	0.00011394333818922092	SELECTED
STX7	14.846261947522976	0.00032205693091902707	SELECTED
PDCD6IP	14.629934906115192	0.0003521217622970134	SELECTED
TSN	14.517176584601328	0.00036894172942581263	SELECTED
PGM1	14.088420400032266	0.00044096501456633553	SELECTED
VNN2	13.604488887638384	0.0005402237539965955	SELECTED
S100A8	12.484046208205083	0.0008707964430657498	SELECTED
STK26	11.920614553803224	0.0011116056559388483	SELECTED
CAPN1	11.480673058053652	0.0013477416276679347	SELECTED
CD46	11.440944345766747	0.0013715108853198622	SELECTED
COL6A3	10.506683904906962	0.0020779302653201963	SELECTED
FDPS	10.10742857047074	0.002488170549558773	UNSELECTED
P2RX1	9.843210922708097	0.0028057957974433768	UNSELECTED
LCN2	9.721274730818648	0.0029664907628087654	UNSELECTED
DECR1	9.307323993531327	0.003588172375377641	UNSELECTED
HSP90AA1	8.832827114935776	0.004473109644080567	UNSELECTED
CYCS	8.732180628990388	0.004688792082977357	UNSELECTED
SLC1A5	8.688117307373593	0.004786641880500955	UNSELECTED
STX4	8.522967714404734	0.005172964490692424	UNSELECTED
SLC29A1	8.464695084035775	0.005317008688104826	UNSELECTED
IGHD	8.21647367360785	0.005979673092833125	UNSELECTED
GLUD1	8.151701881954054	0.006166554995564183	UNSELECTED
ALOX15	7.80764533660003	0.007268137842752217	UNSELECTED
KCNAB2	7.703794511866568	0.007640106938494554	UNSELECTED
DCTN2	7.478225902087357	0.008519139092094768	UNSELECTED
NPEPPS	7.409340754364316	0.008808435383125946	UNSELECTED
CD34	7.334939756960519	0.009132610211436585	UNSELECTED
SPTAN1	7.029291543678999	0.010603026405406701	UNSELECTED
PIP4K2A	6.893097030009232	0.01133723524067361	UNSELECTED
S100A9	6.701012846496283	0.012465770702673696	UNSELECTED
DNAH8	6.641761464558888	0.012837495589355678	UNSELECTED
PPM1A	6.633449506295082	0.0128905765571292	UNSELECTED
EEF1B2	6.603604266600898	0.013083100695833396	UNSELECTED
F11	6.369067954991601	0.014706698724256475	UNSELECTED
RHOG	6.286944788489199	0.015324766714969918	UNSELECTED
HDHD2	6.111766358698189	0.01673749172882792	UNSELECTED
C1S	6.064233241722085	0.017144302419455314	UNSELECTED
KCTD12	6.0415127604342755	0.01734246515660186	UNSELECTED
LYZ	6.035390722368519	0.01739627665609523	UNSELECTED
SLC25A3	6.014273954592379	0.01758325880003037	UNSELECTED
NME1-NME2	5.999807458961572	0.017712590882536967	UNSELECTED
GAS2L1	5.846570417949137	0.01914656302836229	UNSELECTED
SULT1A4	5.815111443737078	0.019455997406802615	UNSELECTED
SPTBN1	5.792665427341787	0.019680040505696324	UNSELECTED
